original degree,degree when deleted
61,0
65,1
61,2
55,3
65,4
61,5
59,6
57,7
65,8
56,9
58,10
57,11
63,12
65,13
60,14
55,15
61,16
66,17
66,18
62,19
68,20
65,21
70,22
59,23
66,23
56,23
70,23
56,23
66,24
67,25
58,26
56,25
62,24
65,24
61,22
63,23
62,24
62,24
62,25
61,25
61,25
61,26
65,27
64,28
60,28
60,27
63,28
57,28
55,27
64,26
56,25
54,25
58,25
58,26
57,26
57,27
53,27
53,27
53,28
64,28
59,27
55,27
52,28
53,26
50,26
54,27
55,27
55,26
56,25
58,25
49,25
60,25
52,24
53,25
53,24
59,25
50,23
56,23
57,24
49,24
51,24
52,24
51,25
62,24
53,20
54,21
54,22
52,22
51,22
54,22
51,20
54,21
51,20
53,19
50,18
53,18
50,19
53,19
49,19
47,20
54,20
53,21
55,21
51,21
54,21
58,21
50,21
55,19
54,19
50,19
45,19
50,20
47,19
49,19
49,20
47,20
47,20
43,21
53,21
54,21
44,21
45,21
45,22
48,22
49,23
48,23
43,23
47,22
49,18
45,19
54,19
47,20
45,21
44,22
47,22
45,20
47,20
45,21
49,18
48,16
52,15
48,16
52,16
44,17
46,17
48,17
46,17
48,17
46,16
48,17
49,17
46,17
49,18
46,18
47,18
45,18
46,19
47,18
48,19
46,20
46,21
47,21
49,22
51,23
48,24
44,23
49,24
49,22
48,21
46,22
48,21
42,20
46,21
38,21
51,22
40,21
46,21
51,21
50,20
45,19
45,18
36,18
49,19
47,19
48,20
44,20
44,19
50,18
51,19
44,19
43,20
43,21
53,21
56,21
53,21
40,21
56,21
54,21
58,22
56,22
54,22
52,22
56,23
50,24
56,24
51,25
55,22
51,21
58,19
57,20
58,20
58,20
57,21
57,22
59,23
53,23
64,23
62,23
65,24
64,25
61,25
50,25
60,26
55,26
60,26
67,27
63,27
67,25
51,26
55,25
65,25
49,24
57,23
53,18
43,19
53,15
42,15
49,14
51,14
48,14
45,12
53,12
47,12
54,13
57,12
50,13
57,14
51,15
57,15
55,16
59,17
51,16
53,17
55,18
51,18
55,19
56,20
55,21
58,21
56,22
53,23
59,22
54,23
58,24
56,24
55,25
60,25
60,26
58,27
56,27
58,28
60,29
54,29
61,28
57,29
54,29
62,28
64,27
62,28
60,27
59,28
61,27
62,28
48,27
67,27
53,28
60,29
62,29
55,29
47,26
47,27
47,25
44,25
48,26
42,26
60,25
46,24
42,24
55,25
52,26
56,25
51,25
53,26
61,26
53,26
61,25
52,25
59,25
51,25
54,25
53,26
56,27
58,27
59,25
54,26
59,27
60,27
59,28
52,28
47,29
53,27
54,28
55,28
54,29
56,28
54,28
54,28
52,29
52,26
56,26
54,25
55,26
58,26
51,24
52,25
56,26
55,27
44,28
50,27
54,27
56,27
54,27
50,26
54,26
51,27
51,25
50,25
48,25
49,25
45,23
56,21
40,21
50,22
42,22
53,22
44,21
54,18
56,19
56,19
55,20
46,21
56,21
56,22
49,19
51,18
51,18
46,17
57,16
57,17
55,17
60,18
58,18
53,17
59,18
53,19
53,20
59,20
57,20
56,21
58,21
61,22
49,21
50,21
55,21
54,22
57,22
53,22
48,22
52,22
45,23
52,22
54,23
55,22
54,23
53,23
55,24
51,24
51,25
49,26
51,26
55,26
55,26
53,26
51,27
52,27
53,28
52,29
48,28
52,28
48,29
58,29
54,28
55,27
48,27
48,28
58,28
59,27
57,27
56,27
50,27
52,27
49,26
54,25
50,26
47,26
50,27
49,28
50,28
54,26
53,23
51,24
48,25
50,25
50,25
55,26
54,26
47,25
50,26
51,26
50,25
49,24
50,24
53,24
53,25
46,25
53,26
48,25
51,26
52,26
45,25
49,25
47,23
50,22
57,22
52,21
52,21
53,21
56,22
48,22
53,21
54,22
51,22
50,21
52,21
51,21
56,21
59,22
52,23
59,23
58,23
61,22
58,23
52,23
59,23
48,21
58,22
55,22
57,23
59,24
55,25
59,25
61,25
58,26
61,26
57,27
50,24
61,25
53,25
44,26
60,24
52,23
59,23
59,24
52,22
52,23
52,24
51,23
56,24
52,25
53,24
53,25
52,26
56,27
52,28
51,25
50,26
50,27
51,27
52,27
51,27
52,28
49,28
52,27
52,27
47,27
